,pp_host_prob_prov,pp_1hi_starid,pp_1hi_rel_prob,pp_2rel_prob,pp_unk_rel_prob,pp_1hi_ra,pp_1hi_mod_depth,pp_2hi_starid,pp_dv_run_id,pp_host_prob_score,pp_host_prior_prob,pp_2mod_depth,pp_koi_time0bk,pp_2hi_dec,pp_koi_period,pp_1hi_prob_prov,pp_host_rel_prob,pp_bkgd_density,pp_2prob_prov,pp_1hi_dec,pp_koi_depth,pp_2hi_ra,pp_1hi_kepmag,pp_2hi_kepmag,pp_2hi_rel_prob,pp_2hi_prob_prov,pp_2hi_mod_depth,pp_1prob_prov,pp_1rel_prob,pp_1mod_depth
K00085.01,PROB,KIC 5866724,1.0,,5.434e-05,288.6887,2452.0,,q1_q17_dr24_tce,0.67,0.86,,132.0395,,5.86,KIC,1.0,4.468e-06,,41.1512,321.0,,11.02,,,,,,,
K00085.02,PROB,KIC 5866724,1.0,,4.607e-05,288.6887,749.0,,q1_q17_dr24_tce,0.56,0.86,,133.5035,,2.15,KIC,1.0,4.468e-06,,41.1512,86.0,,11.02,,,,,,,
K00085.03,PROB,KIC 5866724,1.0,,7.818e-05,288.6887,827.0,,q1_q17_dr24_tce,0.67,0.86,,137.992,,8.13,KIC,1.0,4.468e-06,,41.1512,106.0,,11.02,,,,,,,
K00087.01,PROB,KIC 10593626,1.0,,1.196e-07,289.2175,687.0,KIC 10593625,q1_q17_dr24_tce,1.0,0.9,,133.691,47.8828,289.87,KIC,1.0,3.608e-06,,47.8845,490.0,289.2174,11.66,17.14,0.0,KIC,138017.0,,,
K00088.01,PROB,KIC 7700879,3e-15,,1.0,297.3226,247885.0,KIC 7700871,q1_q17_dr24_tce,1.0,0.74,,133.8842,43.3327,2.59,KIC,0.0,1.125e-05,,43.3328,145.0,297.3198,16.36,11.87,0.0,KIC,1786.0,,,
K00089.01,PROB,KIC 8056665,1.0,,5.484e-05,299.8212,1621.0,,q1_q17_dr24_tce,1.0,0.7,,150.572,,84.69,KIC,1.0,1.414e-05,,43.8143,354.0,,11.64,,,,,,,
K00089.02,PROB,KIC 8056665,1.0,,3.49e-05,299.8212,1345.0,,q1_q17_dr24_tce,1.0,0.7,,289.8614,,207.59,KIC,1.0,1.414e-05,,43.8143,490.0,,11.64,,,,,,,
K00090.01,MATCH,,,,1.0,,,,q1_q17_dr24_tce,1.0,0.89,,131.5891,,0.83,,0.0,3.851e-06,,,135.0,,,,,,,,,
K00092.01,PROB,KIC 7941200,1.0,,5.159e-06,283.3748,4481.0,,q1_q17_dr24_tce,1.0,0.92,,137.4419,,65.7,KIC,1.0,2.808e-06,,43.7882,656.0,,11.67,,,,,,,
K00094.01,PROB,KIC 6462863,1.0,,1.389e-06,297.3331,39203.0,,q1_q17_dr24_tce,1.0,0.72,,132.7419,,22.34,KIC,1.0,1.327e-05,,41.8911,5666.0,,12.21,,,,,,,
K00094.02,PROB,KIC 6462863,1.0,,1.006e-05,297.3331,5348.0,KIC 6462874,q1_q17_dr24_tce,1.0,0.72,,138.0092,41.8905,10.42,KIC,1.0,1.327e-05,,41.8911,784.0,297.3356,12.21,15.72,0.0,KIC,373993.0,,,
K00094.03,PROB,KIC 6462863,1.0,,9.449e-05,297.3331,15117.0,,q1_q17_dr24_tce,1.0,0.72,,161.2429,,54.32,KIC,1.0,1.327e-05,,41.8911,1974.0,,12.21,,,,,,,
K00094.04,PROB,KIC 6462863,1.0,,3.002e-05,297.3331,956.0,KIC 6462870,q1_q17_dr24_tce,1.0,0.72,,131.6194,41.8933,3.74,KIC,1.0,1.327e-05,,41.8911,122.0,297.335,12.21,16.96,0.0,KIC,421059.0,,,
K00097.01,PROB,KIC 5780885,1.0,,3.903e-07,288.5815,60363.0,,q1_q17_dr24_tce,1.0,0.86,,134.277,,4.89,KIC,1.0,6.024e-06,,41.0898,7493.0,,12.88,,,,,,,
K00098.01,PROB,KIC 10264660,1.0,,7.897e-07,287.7088,17494.0,,q1_q17_dr24_tce,1.0,0.91,,138.0883,,6.79,KIC,1.0,3.615e-06,,47.3331,2242.0,,12.13,,,,,,,
K00100.01,PROB,KIC 4055765,,,,291.1779,11134.0,,q1_q17_dr24_tce,1.0,0.81,,141.1532,,9.97,KIC,,8.433e-06,,39.1995,1641.0,,12.6,,,,,,,
