koi mass mass_lo mass_hi radius radius_lo radius_hi Teff Teff_lo Teff_hi logg logg_lo logg_hi feh feh_lo feh_hi age age_lo age_hi distance distance_lo distance_hi AV AV_lo AV_hi maxAV Teff_prior_mu Teff_prior_sig logg_prior_mu logg_prior_sig feh_prior_mu feh_prior_sig
K00097.01 1.373 1.274 1.419 1.994 1.916 2.067 6079.939 6016.781 6146.463 3.972 3.954 3.990 0.108 0.040 0.202 9.544 9.499 9.620 908.334 871.213 943.998 0.095 0.039 0.150 0.272 6027 75.0 3.971 0.019 0.1 0.101
K00098.01 1.514 1.483 1.549 2.155 2.094 2.220 6471.018 6417.590 6530.540 3.952 3.933 3.970 0.056 0.007 0.122 9.352 9.322 9.381 795.809 771.833 822.180 0.036 0.010 0.078 0.189 6378 75.0 3.952 0.019 -0.02 0.101
K00100.01 1.724 1.607 1.807 2.720 2.324 3.010 6647.662 6553.650 6727.818 3.807 3.736 3.914 0.042 -0.002 0.114 9.196 9.150 9.264 1191.274 1014.502 1314.028 0.307 0.236 0.357 0.39 6638 117.0 3.664 0.142 -0.16 0.16
K00102.01 1.061 1.018 1.107 1.071 1.005 1.169 5850.023 5754.957 5947.913 4.405 4.332 4.458 0.139 0.055 0.223 9.573 9.270 9.779 383.726 358.799 418.918 0.158 0.075 0.245 1.279 5751 113.0 4.391 0.073 0.21 0.11
K00102.02 1.061 1.019 1.104 1.072 1.003 1.168 5850.124 5755.779 5947.903 4.404 4.332 4.459 0.135 0.052 0.221 9.576 9.272 9.777 383.625 357.963 418.959 0.158 0.075 0.245 1.279 5751 113.0 4.391 0.073 0.21 0.11
K00103.01 0.975 0.938 1.012 0.923 0.888 0.962 5709.072 5640.084 5792.425 4.499 4.466 4.524 -0.036 -0.140 0.061 9.443 9.197 9.674 323.422 309.954 338.088 0.084 0.028 0.159 0.493 5644 107.0 4.497 0.039 -0.06 0.14
K00104.01 0.824 0.806 0.837 0.753 0.742 0.761 4737.355 4699.712 4771.448 4.601 4.593 4.608 0.303 0.234 0.370 9.393 9.157 9.620 191.180 187.482 194.409 0.099 0.043 0.133 0.146 4778 101.0 4.597 0.008 0.34 0.1
K00105.01 0.871 0.818 0.924 0.896 0.816 1.007 5659.440 5559.004 5768.855 4.477 4.366 4.554 -0.268 -0.388 -0.152 9.847 9.363 10.052 333.978 303.049 376.496 0.212 0.116 0.309 0.945 5666 122.0 4.362 0.141 -0.4 0.16
K00106.01 1.535 1.367 1.741 1.880 1.515 2.514 6858.289 6653.821 7004.236 4.072 3.875 4.219 0.053 -0.092 0.195 9.176 9.097 9.282 903.328 726.968 1200.948 0.423 0.295 0.491 0.521 nan nan nan nan nan nan
K00107.01 1.212 1.135 1.280 1.597 1.535 1.667 5934.535 5879.786 6005.496 4.113 4.092 4.134 0.185 0.116 0.263 9.685 9.608 9.794 654.574 627.415 684.876 0.049 0.015 0.106 0.246 5862 97.0 4.113 0.022 0.27 0.109
K00108.01 1.116 1.082 1.179 1.454 1.422 1.497 5932.581 5879.027 6001.096 4.163 4.152 4.174 0.094 0.027 0.170 9.787 9.697 9.848 485.310 472.149 500.862 0.051 0.016 0.110 0.353 5845 88.0 4.163 0.011 0.07 0.109
K00108.02 1.117 1.082 1.180 1.454 1.421 1.496 5933.494 5879.560 5998.653 4.163 4.152 4.174 0.092 0.027 0.168 9.786 9.699 9.848 485.109 471.877 500.763 0.053 0.016 0.109 0.353 5845 88.0 4.163 0.011 0.07 0.109
K00109.01 1.212 1.087 2.007 1.357 1.112 86.412 6195.531 4054.535 6378.517 4.249 0.879 4.390 -0.008 -0.236 0.140 9.399 9.098 9.577 491.384 398.201 2624.683 0.253 0.132 0.339 0.382 nan nan nan nan nan nan
K00110.01 1.227 1.192 1.263 1.286 1.214 1.393 6310.203 6250.503 6370.241 4.307 4.245 4.353 0.088 0.007 0.172 9.338 9.170 9.462 586.863 551.800 636.028 0.030 0.008 0.068 0.124 6204 93.0 4.316 0.071 0.12 0.1
K00111.01 1.006 0.950 1.061 1.027 0.951 1.126 6032.343 5956.688 6121.150 4.420 4.342 4.478 -0.201 -0.331 -0.082 9.568 9.257 9.766 402.418 371.587 442.344 0.083 0.028 0.156 0.276 5979 113.0 4.394 0.092 -0.34 0.16
K00111.02 1.007 0.950 1.063 1.029 0.956 1.124 6028.714 5956.122 6119.688 4.417 4.340 4.474 -0.197 -0.331 -0.074 9.575 9.270 9.774 403.152 372.659 441.542 0.080 0.027 0.151 0.276 5979 113.0 4.394 0.092 -0.34 0.16
K00111.03 1.009 0.949 1.065 1.028 0.950 1.128 6031.439 5958.661 6119.769 4.420 4.341 4.480 -0.196 -0.332 -0.074 9.562 9.252 9.770 402.809 370.734 442.397 0.082 0.028 0.153 0.276 5979 113.0 4.394 0.092 -0.34 0.16
K00112.01 1.045 1.006 1.085 1.045 0.984 1.125 5926.869 5860.267 6007.658 4.421 4.357 4.468 -0.011 -0.101 0.078 9.525 9.241 9.728 435.054 408.869 469.029 0.070 0.023 0.136 0.256 5833 113.0 4.407 0.073 -0.04 0.12
K00112.02 1.045 1.006 1.085 1.045 0.984 1.125 5926.869 5860.267 6007.658 4.421 4.357 4.468 -0.011 -0.101 0.078 9.525 9.241 9.728 435.054 408.869 469.029 0.070 0.023 0.136 0.256 5833 113.0 4.407 0.073 -0.04 0.12
K00114.01 1.375 1.241 1.495 1.872 1.521 2.221 6275.502 6181.349 6375.372 4.032 3.918 4.171 0.055 0.001 0.135 9.469 9.390 9.539 808.605 657.748 959.577 0.123 0.054 0.197 0.879 6227 109.0 3.986 0.135 0.0 0.12
K00115.01 1.109 1.070 1.151 1.159 1.070 1.312 6081.781 6027.604 6142.366 4.353 4.253 4.420 0.005 -0.086 0.093 9.542 9.274 9.677 524.698 482.194 594.038 0.021 0.006 0.052 0.175 5779 115.0 4.339 0.113 -0.06 0.14
