,FPP,L_beb,L_beb_Px2,L_boxy,L_eb,L_eb_Px2,L_heb,L_heb_Px2,L_long,L_pl,fp,fpV,lhood_beb,lhood_beb_Px2,lhood_boxy,lhood_eb,lhood_eb_Px2,lhood_heb,lhood_heb_Px2,lhood_long,lhood_pl,pr_beb,pr_beb_Px2,pr_boxy,pr_eb,pr_eb_Px2,pr_heb,pr_heb_Px2,pr_long,pr_pl
K02136.01,1.0,2.48e-18,2.3730002725e-06,0.0,0.0,4.48000000002e-86,0.0,0.0,4.11e-07,7.4200564e-188,0.204,5.110000024e+232,1.1371e-16,0.00016782001927,0.0,0.0,6.09000000003e-83,0.0,0.0,0.00822,2.106016e-186,1.72e-12,0.648400664,0.0,0.0,6.94000000013e-81,0.0,0.0,0.35159,1.7820251e-182
K02137.01,0.0009715,7.762e-06,6.298e-07,1.19e-07,2.699e-07,1.3117e-07,1.2428e-09,5.531e-08,0.0,0.009223,0.129,0.02503,0.01368,0.001806,0.00237,5.637e-05,0.001747,8.6947e-07,0.003507,0.0,1.822,0.0008407,6.824e-05,1.285e-05,2.927e-05,1.4208e-05,1.3412e-07,5.983e-06,0.0,0.999
K02138.01,0.000634,4.978e-11,7.0206360373e-14,2.52e-07,6.202e-12,4.620000002e-11,5.519e-15,5.299190564e-13,0.0,0.0003972,0.165,0.02089,4.065e-08,6.9404160366e-11,0.00503,9.452e-10,1.20810000048e-06,3.2091e-12,4.638780609e-08,0.0,0.04287,1.2515e-07,1.82515800945e-10,0.0006337,1.5588e-08,1.1630000005e-07,1.3875e-11,1.363671143e-09,0.0,0.999
K02139.01,0.00013256,1.8791e-06,6.12900027e-13,0.0,2.097422e-29,6.89675e-17,1.9199e-34,3.7338e-14,1.65e-09,0.01424,0.152,0.004012,0.007956,2.372000104e-09,0.0,6.854308e-27,2.61136e-13,2.654e-31,6.7946e-10,3.3e-05,1.199,0.00013223,4.277000193e-11,0.0,1.463577e-27,4.83056e-15,1.3977e-32,2.5701e-12,1.168e-07,1.0
K02140.01,0.005882,3.8923e-10,1.025e-12,2.36e-07,2.56809e-16,1.0492e-10,1.3054e-30,7.7722132e-33,0.0,4.004e-05,0.201,0.237,8.133e-07,3.7224e-09,0.00473,5.27539e-14,1.374e-06,1.17329e-27,5.3901707e-28,0.0,0.00632,9.641e-06,2.5438e-08,0.00587,6.43247e-12,2.604e-06,3.3504e-26,1.93605237e-28,0.0,0.994
K02141.01,0.9541,0.001686,0.004392,0.0,0.003088,0.00329,0.0001713,0.0002081,0.0,0.0006192,0.077,358.8,1.498,4.556,0.0,1.268,3.78,0.3273,0.9252,0.0,0.03235,0.1256,0.3268,0.0,0.229,0.2448,0.012677,0.015433,0.0,0.04589
K02142.01,0.5218,2.437e-06,0.00010103,0.0,9.126e-06,0.00011706,1.9997e-09,1.903e-06,0.0,0.0002111,0.213,46.56,0.011655,0.5235,0.0,0.0017088,0.10238,9.207e-07,0.009195,0.0,0.004559,0.005518,0.2289,0.0,0.020539,0.2625,4.616e-06,0.004333,0.0,0.4782
K02143.01,3.012e-05,1.689e-06,3.627e-07,1.06e-10,5.1289e-17,1.4717e-07,4.4e-19,2.473e-08,0.0,0.07374,0.112,0.0006718,0.011162,0.001939,2.12e-06,1.1234e-14,0.0006354,4.779e-16,0.0007075,0.0,7.267,2.284e-05,4.921e-06,1.435e-09,6.935e-16,1.999e-06,5.956e-18,3.358e-07,0.0,1.0
K02144.01,0.002737,9.754e-06,3.282e-07,6.58e-09,2.452e-06,6.0066e-09,2.3493e-07,2.22008e-10,0.0,0.004663,0.197,0.10742,0.006092,0.0003309,0.000132,0.0004289,4.2577e-05,0.00021897,9.2986e-06,0.0,0.7347,0.002088,7.01e-05,1.408e-06,0.0005261,1.2772e-06,5.014e-05,4.7547e-08,0.0,0.9972
K02145.01,0.001076,2.89365e-10,1.9322104e-11,2.37e-07,1.0822895e-20,3.7933088e-10,6.0565250727e-48,4.44636e-15,0.0,0.0002206,0.218,0.04666,9.13646e-07,6.3552336e-08,0.00474,1.0750886e-18,2.1957902e-06,2.928152434e-45,1.80045e-10,0.0,0.01177,1.30522e-06,8.7899458e-08,0.001074,4.877399e-17,1.7295801e-06,2.7418339339e-44,2.02466e-11,0.0,0.999
K02146.01,0.0008515,3.088e-05,2.043e-05,0.0,3.921e-18,8.757e-09,1.6223e-18,4.599e-09,8.19e-11,0.06018,0.133,0.02248,0.07574,0.04699,0.0,1.2232e-15,2.585e-05,1.823e-15,5.405e-05,1.64e-06,4.66,0.0005121,0.000339,0.0,6.517e-17,1.455e-07,2.694e-17,7.643e-08,1.36e-09,0.999
K02147.01,0.00012865,8.114e-07,2.5227e-08,6.08e-09,1.18320586e-10,4.67e-18,1.431521891e-27,4.3529047e-15,0.0,0.006543,0.198,0.005069,0.005344,0.0002715,0.000122,3.55560784e-08,1.2066e-13,1.84949616e-24,5.5682064e-10,0.0,1.178,0.00012399,3.865e-06,9.294e-07,1.84132135e-08,7.16e-16,2.19416337e-25,6.5934168e-13,0.0,1.0
K02147.02,0.05497,0.0003023,0.0004155,7.24e-08,2.23e-07,8.933e-06,2.632e-10,7.722e-07,0.0,0.01253,0.089,1.029,0.07483,0.1722,0.00145,3.356e-05,0.08341,1.3182e-07,0.02926,0.0,1.961,0.02283,0.03137,5.469e-06,1.68e-05,0.0006744,1.986e-08,5.83e-05,0.0,0.945
K02148.01,9.087e-05,6.065e-08,4.098e-10,1.81e-07,5.220631276e-18,4.2178e-11,3.9546e-40,2.4274e-14,0.0,0.002657,0.188,0.003398,0.00010764,9.659e-07,0.00361,4.290518907e-16,4.0465e-07,1.67534e-37,1.2175e-09,0.0,0.1876,2.2637e-05,1.5575e-07,6.807e-05,1.9032327724e-15,1.5991e-08,1.49122e-37,9.201e-12,0.0,1.0
K02148.02,1.576e-05,7.5103848e-09,1.2570606e-11,1.51e-07,6.6900000381e-19,2.42869e-14,4.8852e-39,1.0341e-11,0.0,0.010054,0.144,0.0004522,6.7023426e-06,1.507291e-08,0.00301,7.34300004209e-17,2.14568e-10,2.45698e-36,5.692e-07,0.0,0.7334,7.4503994e-07,1.2510604e-09,1.501e-05,6.56800003879e-17,2.40461e-12,4.896e-37,1.0244e-09,0.0,1.0
K02148.03,0.0007873,1.7728e-08,1.3606e-05,7.89e-09,8.602e-19,9.267e-09,2.69603365e-18,8.628e-11,7.69e-09,0.01733,0.103,0.01617,8.9449e-06,0.006745,0.000158,1.8273e-16,2.858e-05,2.95003678e-15,1.3623e-06,0.000154,1.241,1.01922e-06,0.0007844,4.553e-07,4.953e-17,5.341e-07,1.54901969e-16,4.986e-09,4.432e-07,0.9991
