koi has_ttv
K00859.01 False 
K00861.01 False 
K00862.01 False 
K00863.01 False 
K00864.01 False 
K00864.02 False 
K00864.03 False 
K00865.01 False 
K00866.01 False 
K00867.01 False 
K00868.01 False 
K00869.01 True 
K00869.02 True 
K00869.03 True 
K00869.04 True 
K00870.01 True 
K00870.02 True 
K00871.01 False 
K00872.01 True 
K00872.02 True 
K00873.01 False 
K00874.01 False 
K00874.02 False 
K00875.01 False 
K00876.01 nan
K00877.01 True 
K00877.02 True 
K00877.03 True 
K00878.01 False 
K00880.01 True 
K00880.02 True 
K00880.03 True 
K00880.04 True 
K00881.01 False 
K00881.02 False 
K00882.01 False 
K00883.01 False 
K00884.01 True 
K00884.02 True 
K00884.03 True 
K00886.01 True 
K00886.02 True 
K00886.03 True 
K00887.01 False 
K00888.01 True 
K00889.01 False 
K00890.01 False 
K00891.01 False 
K00892.01 False 
K00892.02 False 
K00893.01 False 
K00894.01 False 
K00895.01 False 
K00896.01 False 
K00896.02 False 
K00896.03 False 
K00897.01 False 
K00898.01 False 
K00898.02 False 
K00898.03 False 
K00899.01 False 
K00899.02 False 
K00899.03 False 
K00900.01 False 
K00901.01 False 
K00902.01 True 
K00903.01 False 
K00904.01 True 
K00904.02 True 
K00904.03 True 
K00904.04 True 
K00904.05 True 
K00905.01 False 
K00906.01 False 
K00906.02 False 
K00906.03 False 
K00907.01 False 
K00907.02 False 
K00907.03 False 
K00907.04 False 
K00908.01 False 
K00909.01 nan
K00910.01 False 
K00911.01 False 
K00911.02 False 
K00912.01 False 
K00912.02 False 
K00913.01 False 
K00914.01 False 
K00915.01 False 
K00916.01 False 
K00917.01 False 
K00918.01 True 
K00919.01 False 
K00920.01 False 
K00921.01 False 
K00921.02 False 
K00921.03 False 
K00922.01 False 
K00923.01 False 
K00924.01 False 
K00925.01 False 
K00926.01 False 
K00927.01 False 
K00928.01 True 
K00929.01 False 
K00929.02 False 
K00930.01 False 
K00931.01 False 
K00932.01 False 
K00933.01 False 
K00934.01 False 
K00934.02 False 
K00934.03 False 
K00935.01 True 
K00935.02 True 
K00935.03 True 
K00935.04 True 
K00936.01 False 
K00936.02 False 
K00937.01 False 
K00938.01 False 
K00938.02 False 
K00938.03 False 
K00939.01 False 
K00939.02 False 
K00939.03 False 
K00939.04 False 
K00940.01 False 
K00941.01 False 
K00941.02 False 
K00941.03 False 
K00942.01 False 
K00943.01 False 
K00944.01 False 
K00945.01 False 
K00945.02 False 
K00945.03 False 
K00946.01 False 
K00947.01 False 
K00948.01 False 
K00949.01 False 
K00950.01 False 
K00951.01 False 
K00951.02 False 
K00952.01 True 
K00952.02 True 
K00952.03 False 
K00952.04 True 
K00952.05 True 
K00953.01 False 
K00954.01 False 
K00954.02 False 
K00955.01 False 
K00956.01 False 
K00957.01 False 
K00958.01 False 
K00959.01 False 
K00960.01 False 
K00961.01 False 
K00961.02 False 
K00961.03 False 
K00964.01 False 
K00965.01 False 
K00966.01 False 
K00967.01 False 
K00968.01 False 
K00969.01 False 
K00970.01 False 
K00971.01 False 
K00972.01 True 
K00972.02 True 
K00974.01 False 
K00975.01 False 
K00976.01 False 
K00977.01 False 
K00978.01 False 
K00979.01 False 
K00980.01 False 
K00982.01 False 
K00983.02 False 
K00984.01 True 
K00985.01 False 
K00986.01 False 
K00986.02 False 
K00987.01 False 
K00988.01 False 
K00988.02 False 
K00989.02 True 
K00991.01 False 
K00992.01 False 
K00992.02 False 
K00993.01 False 
K00993.02 False 
K00993.03 False 
K00994.01 False 
K00995.01 False 
K00996.01 False 
K00998.01 False 
K00999.01 False 
K00999.02 False 
K01000.01 False 
K01001.01 False 
K01001.02 False 
K01002.01 False 
K01003.01 False 
K01004.01 False 
K01005.01 False 
K01006.01 False 
K01007.01 False 
K01008.01 False 
K01009.01 False 
K01011.01 False 
K01012.01 False 
K01013.01 False 
K01014.01 False 
K01015.01 False 
K01015.02 False 
K01015.03 False 
K01016.01 False 
K01017.01 False 
K01018.01 False 
K01020.01 False 
K01021.01 False 
K01022.01 False 
K01022.02 False 
K01023.01 False 
K01024.01 False 
K01025.01 False 
K01028.01 False 
K01029.01 False 
K01030.01 False 
K01031.01 False 
K01034.01 nan
K01035.01 False 
K01036.01 False 
K01037.01 False 
K01039.01 False 
K01040.01 False 
K01041.01 False 
K01042.01 False 
K01043.01 False 
K01044.01 False 
K01045.01 False 
K01047.01 False 
K01048.01 False 
K01049.01 False 
K01050.01 False 
K01050.02 False 
K01051.01 False 
K01052.01 False 
K01052.02 False 
K01052.03 False 
K01052.04 False 
K01053.01 False 
K01053.02 False 
K01055.01 False 
K01057.01 False 
K01058.01 False 
K01059.01 False 
K01060.01 False 
K01060.02 False 
K01060.03 False 
K01060.04 False 
K01061.01 False 
K01062.01 False 
K01063.01 False 
K01064.01 False 
K01065.01 False 
K01066.01 False 
K01067.01 False 
K01068.01 False 
K01069.01 False 
K01069.02 False 
K01070.01 False 
K01070.02 False 
K01071.01 False 
K01072.01 False 
K01073.01 False 
K01074.01 False 
K01075.01 False 
K01076.01 True 
K01077.01 False 
K01078.01 False 
K01078.02 False 
K01078.03 False 
K01080.01 False 
K01081.01 False 
K01082.01 False 
K01082.02 False 
K01082.03 False 
K01082.04 False 
K01083.01 False 
K01083.02 False 
K01084.01 False 
K01085.01 False 
K01086.01 False 
K01087.01 False 
K01088.01 False 
K01089.01 False 
K01089.02 False 
K01090.01 False 
K01091.01 False 
K01093.01 False 
K01094.01 False 
K01095.01 False 
K01098.01 False 
K01099.01 False 
K01100.01 False 
K01101.01 False 
K01102.01 False 
K01102.02 False 
K01102.03 False 
K01102.04 False 
K01103.01 True 
K01104.01 False 
K01105.01 False 
K01106.01 False 
K01106.02 False 
K01106.03 False 
K01107.01 False 
K01108.01 False 
K01108.02 False 
K01108.03 False 
K01110.01 False 
K01110.02 False 
K01111.01 False 
K01112.01 False 
K01113.01 False 
K01113.02 False 
K01114.01 False 
K01115.01 False 
K01116.01 False 
K01117.01 False 
K01118.01 False 
K01119.01 False 
K01119.02 False 
K01120.01 False 
K01121.01 False 
K01122.01 False 
K01123.01 False 
K01124.01 False 
K01125.01 False 
K01126.01 False 
K01126.02 False 
K01127.01 False 
K01127.02 False 
K01127.03 False 
K01128.01 False 
K01129.01 False 
K01130.01 False 
K01131.01 True 
K01132.01 False 
K01133.01 False 
K01134.01 False 
K01134.02 False 
K01135.01 False 
K01136.01 False 
K01137.01 False 
K01138.01 False 
K01139.01 False 
K01140.01 False 
K01141.01 False 
K01142.01 False 
K01143.01 False 
K01144.01 False 
K01145.01 True 
K01146.01 False 
K01147.01 False 
K01148.01 False 
K01148.02 False 
K01150.01 False 
K01151.01 False 
K01151.02 False 
K01151.03 False 
K01151.04 False 
K01151.05 False 
K01152.01 False 
