,pp_host_prob_prov,pp_1hi_starid,pp_1hi_rel_prob,pp_2hi_rel_prob,pp_unk_rel_prob,pp_1hi_ra,pp_1hi_mod_depth,pp_2hi_starid,pp_host_rel_prob_err,pp_host_prob_score,pp_unk_rel_prob_err,pp_2hi_rel_prob_err,pp_1hi_rel_prob_err,pp_host_prior_prob,pp_koi_time0bk,pp_2hi_dec,pp_koi_period,pp_1hi_prob_prov,pp_dv_run_id,pp_host_rel_prob,pp_2hi_prob_prov,pp_bkgd_density,pp_1hi_dec,pp_2hi_mod_depth,pp_koi_depth,pp_2hi_ra,pp_1hi_kepmag,pp_2hi_kepmag
K07066.01,PROB,KIC 8604993,1.0,,6.754e-07,282.24,461427.0,,0.0084,1.0,4.929e-09,,0.0084,0.93,134.0195,,6.57,KIC,dr25,1.0,,6.65e-06,44.7311,,60001.0,,15.3,
K07067.01,PROB,,,,4.641e-07,,,,0.0064,1.0,2.577e-09,,,0.92,132.4811,,1.08,,dr25,1.0,,6.19e-06,,,397513.0,,,
K07068.01,PROB,KIC 8610483,1.0,,3.982e-07,285.284,2286005.0,,2.4e-05,1.0,8.36e-12,,2.4e-05,0.91,160.1895,,48.8,KIC,dr25,1.0,,7.122e-06,44.7692,,330161.0,,15.05,
K07069.01,PROB,KIC 8613446,0.92,,0.08024,286.916,499.0,,7.4e-16,0.5,8.05e-16,,7.4e-16,0.9,131.6177,,1.01,KIC,dr25,0.92,,9.201e-06,44.7045,,243.0,,15.57,
K07070.01,PROB,KIC 8618226,1.0,,3.598e-07,289.3315,1891146.0,,4.6e-05,1.0,1.423e-11,,4.6e-05,0.88,131.7687,,5.88,KIC,dr25,1.0,,6.429e-06,44.7726,,237164.0,,13.78,
K07071.01,PROB,KIC 8621026,1.0,,3.632e-07,290.4284,1810259.0,,0.00043,1.0,1.366e-10,,0.00043,0.87,133.1886,,4.06,KIC,dr25,1.0,,6.366e-06,44.7873,,243696.0,,13.37,
K07072.01,PROB,KIC 8624860,0.99,0.014,0.0005556,291.7958,613.0,KIC 8624861,0.071,0.22,3.47e-05,0.0012,0.071,0.85,140.8573,44.7483,15.39,KIC,dr25,0.99,KIC,7.847e-06,44.7462,257801.0,72.0,291.7958,13.81,18.76
K07073.01,PROB,KIC 8625408,1.0,9.2e-07,8.659e-05,292.0173,181.0,UKIRT 44117909787171,3.6e-16,1.0,8.664e-19,4.5e-22,3.6e-16,0.85,246.691,44.7152,279.01,KIC,dr25,1.0,UKIRT,6.864e-06,44.7133,1000633.0,289.0,292.0184,13.05,20.53
K07074.01,PROB,KIC 8686442,1.0,,0.000307,290.7549,1366.0,,0.09,0.0,2.403e-05,,0.09,0.86,146.6895,,26.86,KIC,dr25,1.0,,9.932e-06,44.8516,,196.0,,14.96,
K07075.01,PROB,KIC 8690001,1.0,,1.252e-06,292.1084,2611832.0,,1e-15,1.0,1.257e-20,,1e-15,0.85,134.5011,,19.36,KIC,dr25,1.0,,8.98e-06,44.8465,,384523.0,,14.26,
K07076.01,PROB,KIC 8693536,1.0,,0.0002456,293.5303,868.0,,0.021,0.12,4.467e-06,,0.021,0.83,139.9699,,16.23,KIC,dr25,1.0,,1.025e-05,44.8328,,111.0,,14.3,
K07077.01,PROB,KIC 8700506,1.0,,6.569e-07,295.9308,2801656.0,,0.0023,1.0,1.295e-09,,0.0023,0.79,172.6097,,43.8,KIC,dr25,1.0,,1.053e-05,44.8385,,426571.0,,13.48,
K07078.01,PROB,KIC 8701327,1.0,,5.978e-07,296.1784,2321115.0,,2.6e-05,1.0,1.325e-11,,2.6e-05,0.79,133.8278,,4.25,KIC,dr25,1.0,,1.068e-05,44.8703,,270442.0,,13.44,
K07079.01,PROB,,,,8.693e-07,,,,0.00021,1.0,1.584e-10,,,0.74,149.6764,,18.78,,dr25,1.0,,1.537e-05,,,486267.0,,,
K07080.01,PROB,KIC 8713828,0.96,0.034,9.708e-05,299.5075,580.0,UKIRT 44117909447758,0.018,0.99,1.547e-06,0.0021,0.018,0.72,131.7179,44.7997,1.25,KIC,dr25,0.96,UKIRT,1.346e-05,44.8012,396214.0,10.0,299.5077,12.53,19.04
K07081.01,PROB,KIC 8719897,1.0,,9.157e-07,301.3087,1370448.0,,0.00017,1.0,1.358e-10,,0.00017,0.68,131.6863,,1.58,KIC,dr25,1.0,,1.626e-05,44.807,,163783.0,,12.39,
K07082.01,PROB,KIC 8736245,1.0,,2.519e-07,283.4341,2133783.0,,4.2e-05,1.0,9.231e-12,,4.2e-05,0.93,133.4782,,2.53,KIC,dr25,1.0,,4.502e-06,44.9897,,360226.0,,13.8,
K07083.01,PROB,KIC 8738115,1.0,,1.031e-06,284.4483,249205.0,,0.0095,1.0,8.49e-09,,0.0095,0.92,168.5791,,37.59,KIC,dr25,1.0,,8.064e-06,44.9634,,29711.0,,15.63,
K07084.01,PROB,KIC 8739209,1.0,5.7e-71,3.258e-06,285.0424,155.0,UKIRT 44117910000489,0.034,1.0,9.705e-08,2.4e-70,0.034,0.92,131.8182,44.9098,3.7,KIC,dr25,1.0,UKIRT,3.202e-06,44.9105,613292.0,15.0,285.0445,11.96,20.49
K07085.01,PROB,KIC 8746310,1.0,,4.782e-07,288.886,587010.0,,0.0013,1.0,5.179e-10,,0.0013,0.88,136.0225,,6.86,KIC,dr25,1.0,,8.116e-06,44.96,,70676.0,,14.77,
K07086.01,FAILED,,,,,,,,,0.0,,,,0.87,,,,,dr25,,,,,,,,,
K07087.01,PROB,KIC 8758161,1.0,,5.732e-07,293.6205,776052.0,,0.0066,1.0,3.267e-09,,0.0066,0.83,131.8045,,1.0,KIC,dr25,1.0,,7.126e-06,44.9673,,88456.0,,12.46,
K07088.01,PROB,UKIRT 44117910063925,0.91,0.031,2.839e-05,294.5972,498363.0,KIC 8760760,0.0048,0.01,4.403e-06,0.0048,0.17,0.81,132.6717,44.9277,2.69,UKIRT,dr25,0.031,KIC,1.685e-05,44.9264,964.0,120.0,294.5992,18.66,15.56
K07089.01,PROB,KIC 8767034,7.4e-96,,1.0,296.6705,214.0,,1.1e-109,0.01,1.414e-14,,1.1e-109,0.78,131.5661,,0.59,KIC,dr25,7.4e-96,,1.344e-05,44.9598,,25.0,,14.28,
K07090.01,PROB,KIC 8773948,1.0,,1.268e-06,298.4424,1303441.0,,0.0088,1.0,9.684e-09,,0.0088,0.75,154.0079,,33.47,KIC,dr25,1.0,,1.399e-05,44.9109,,165341.0,,13.71,
K07091.01,PROB,KIC 8784288,1.0,,1.133e-06,301.3035,2038693.0,,0.0022,1.0,2.166e-09,,0.0022,0.69,132.2662,,1.83,KIC,dr25,1.0,,1.836e-05,44.9997,,287789.0,,13.66,
K07092.01,PROB,KIC 8804358,1.0,0.00027,0.0001763,285.0815,1810.0,UKIRT 44117910001481,0.023,0.0,3.507e-06,4.8e-05,0.023,0.92,146.4334,45.0234,62.52,KIC,dr25,1.0,UKIRT,7.889e-06,45.0238,182800.0,266.0,285.0831,15.45,19.18
K07093.01,PROB,KIC 8807057,0.99,0.006,0.0001072,286.5537,579.0,UKIRT 44117909909335,0.024,0.58,2.214e-06,0.00065,0.024,0.9,134.6721,45.0027,97.99,KIC,dr25,0.99,UKIRT,5.118e-06,45.0023,251354.0,129.0,286.5556,13.65,19.23
K07094.01,PROB,KIC 8815279,0.95,0.047,0.0003275,290.4564,1946.0,KIC 8815276,0.031,0.0,9.102e-06,0.0052,0.031,0.87,142.6401,45.0039,13.56,KIC,dr25,0.95,KIC,1.167e-05,45.0032,45145.0,203.0,290.4555,15.56,18.52
K07095.01,PROB,KIC 8822585,1.0,3.1e-18,1.499e-07,293.3057,5.0,UKIRT 44117909968619,0.021,0.0,2.701e-09,3e-18,0.021,0.83,131.9194,45.0069,1.63,KIC,dr25,1.0,UKIRT,7.214e-06,45.008,19710.0,30.0,293.3034,12.76,20.58
K07096.01,PROB,,,,4.512e-07,,,,0.00011,1.0,4.356e-11,,,0.83,132.9875,,1.51,,dr25,1.0,,8.039e-06,,,475152.0,,,
K07097.01,PROB,KIC 8841616,1.0,,8.669e-07,299.1617,562585.0,,0.0025,1.0,1.897e-09,,0.0025,0.73,131.5587,,1.68,KIC,dr25,1.0,,1.308e-05,45.0519,,78532.0,,12.83,
K07098.01,PROB,KIC 8845221,1.0,,9.126e-07,300.2099,1627057.0,,6.7e-05,1.0,5.293e-11,,6.7e-05,0.71,133.7453,,2.7,KIC,dr25,1.0,,1.628e-05,45.0031,,160490.0,,13.62,
K07099.01,PROB,KIC 8845552,1.0,,0.004447,300.3053,3694.0,,0.049,0.12,0.0001876,,0.049,0.71,138.9358,,34.04,KIC,dr25,1.0,,2.934e-05,45.0934,,356.0,,15.53,
K07100.01,PROB,KIC 8848104,1.0,,1.199e-06,300.9949,219504.0,,0.0058,1.0,6.067e-09,,0.0058,0.7,131.6281,,0.82,KIC,dr25,1.0,,1.525e-05,45.0789,,24282.0,,12.37,
K07101.01,MATCH,,,,,,,,0.0,1.0,,,,0.69,,,,,dr25,0.0,,,,,,,,
K07102.01,MATCH,KIC 8868657,1.0,,0.000124,284.401,575.0,,0.013,0.06,1.411e-06,,0.013,0.92,133.8578,,4.45,KIC,dr25,1.0,,8.886e-06,45.1494,,136.0,,15.99,
K07103.01,PROB,KIC 8878681,1.0,,1.257e-05,289.2316,174277.0,,0.068,0.99,7.398e-07,,0.068,0.88,132.2057,,2.5,KIC,dr25,1.0,,3.84e-06,45.1643,,20136.0,,11.21,
K07104.01,PROB,KIC 8879427,1.0,,4.437e-07,289.5367,572681.0,,0.00024,1.0,9.394e-11,,0.00024,0.88,136.8539,,16.31,KIC,dr25,1.0,,7.853e-06,45.1051,,71644.0,,14.52,
K07105.01,PROB,KIC 8879915,1.0,,1.557e-05,289.7452,2787046.0,,0.055,1.0,7.431e-07,,0.055,0.88,132.5266,,1.72,KIC,dr25,1.0,,9.724e-06,45.1872,,405143.0,,15.19,
K07106.01,PROB,KIC 8881169,0.61,0.39,0.0001494,290.2125,936.0,KIC 8881168,0.034,0.67,6.908e-06,0.02,0.034,0.87,132.2493,45.1358,5.02,KIC,dr25,0.61,KIC,8.277e-06,45.135,115804.0,94.0,290.2124,14.54,19.56
K07107.01,MATCH,KIC 8890996,0.98,0.016,0.0007933,293.8218,281.0,KIC 8890985,0.081,0.44,5.665e-05,0.005,0.081,0.83,133.0162,45.1092,1.51,KIC,dr25,0.98,KIC,7.231e-06,45.1078,299857.0,17.0,293.8186,12.49,17.76
K07108.01,PROB,KIC 8906676,1.0,,6.356e-07,298.4486,1246090.0,,0.00035,1.0,1.907e-10,,0.00035,0.75,134.0632,,8.21,KIC,dr25,1.0,,1.119e-05,45.1042,,141186.0,,12.12,
K07109.01,PROB,KIC 8938628,1.0,,2.731e-07,285.6626,237284.0,,0.00015,1.0,3.443e-11,,0.00015,0.91,133.5932,,3.43,KIC,dr25,1.0,,4.861e-06,45.2177,,39164.0,,13.68,
K07110.01,PROB,KIC 8940961,1.0,,4.193e-07,286.7895,1354980.0,,0.00032,1.0,1.173e-10,,0.00032,0.9,132.3744,,1.58,KIC,dr25,1.0,,7.365e-06,45.2714,,106150.0,,14.93,
K07111.01,PROB,KIC 8953278,1.0,,0.0003717,291.9289,1819.0,,0.046,0.0,1.474e-05,,0.046,0.85,134.2776,,23.6,KIC,dr25,1.0,,1.219e-05,45.2318,,193.0,,15.37,
K07112.01,FAILED,,,,,,,,,0.0,,,,0.85,,,,,dr25,,,,,,,,,
K07113.01,PROB,KIC 8953426,1.0,,3.317e-07,291.991,1249199.0,,0.0011,1.0,3.131e-10,,0.0011,0.85,131.6186,,2.67,KIC,dr25,1.0,,5.738e-06,45.2341,,153872.0,,12.16,
K07114.01,MATCH,KIC 8953475,1.0,9.9e-05,0.000253,292.0145,621.0,KIC 8953472,0.056,0.61,1.234e-05,1.3e-05,0.056,0.85,131.6328,45.2056,2.67,KIC,dr25,1.0,KIC,7.367e-06,45.2057,232790.0,34.0,292.0113,13.56,17.89
K07115.01,PROB,KIC 8957572,0.93,0.066,0.0002165,293.5484,150.0,UKIRT 44117909867236,0.026,0.33,5.231e-06,0.0028,0.026,0.83,132.4487,45.2021,1.58,KIC,dr25,0.93,UKIRT,6.745e-06,45.201,49533.0,21.0,293.549,12.23,18.46
K07116.01,PROB,KIC 8958825,0.7,0.3,0.0003423,293.9688,369492.0,KIC 8958811,0.0093,0.12,7.06e-06,0.0093,0.017,0.83,133.0691,45.2736,2.53,KIC,dr25,0.3,KIC,8.672e-06,45.2736,291.0,32.0,293.9654,19.27,13.56
K07117.01,PROB,KIC 8958939,1.0,,0.0005643,294.0079,664.0,,0.034,0.12,1.686e-05,,0.034,0.83,135.0445,,8.29,KIC,dr25,1.0,,1.469e-05,45.2327,,101.0,,15.38,
K07117.02,PROB,KIC 8958939,1.0,,0.0004326,294.0079,1804.0,,0.021,0.12,7.849e-06,,0.021,0.83,153.2058,,22.79,KIC,dr25,1.0,,1.469e-05,45.2327,,251.0,,15.38,
K07118.01,PROB,KIC 8973000,1.0,,9.131e-07,297.8944,1186369.0,,8.9e-05,1.0,7.051e-11,,8.9e-05,0.76,158.3483,,28.03,KIC,dr25,1.0,,1.626e-05,45.2112,,239780.0,,14.59,
K07119.01,PROB,KIC 8977176,0.97,0.032,0.0002651,298.8774,596.0,UKIRT 44117909437200,0.023,0.33,5.364e-06,0.0017,0.023,0.74,132.0477,45.2026,0.51,KIC,dr25,0.97,UKIRT,1.383e-05,45.204,476913.0,28.0,298.8777,13.54,20.05
K07120.01,PROB,KIC 9001468,1.0,,4.409e-07,282.7616,2085707.0,,0.0014,1.0,5.469e-10,,0.0014,0.93,142.7273,,17.33,KIC,dr25,1.0,,6.507e-06,45.3985,,252253.0,,15.2,
K07121.01,PROB,KIC 9005854,1.0,,5.637e-07,285.0313,1238140.0,,0.0065,1.0,3.161e-09,,0.0065,0.92,131.6781,,3.78,KIC,dr25,1.0,,8.061e-06,45.3805,,158685.0,,15.57,
K07122.01,PROB,KIC 9007918,1.0,,1.896e-07,286.0084,1232755.0,,0.0014,1.0,2.302e-10,,0.0014,0.91,132.8469,,1.39,KIC,dr25,1.0,,3.178e-06,45.356,,139643.0,,11.66,
K07123.01,MATCH,KIC 9007953,1.0,,0.0001988,286.0213,229.0,,0.033,0.0,5.75e-06,,0.033,0.91,132.8501,,1.39,KIC,dr25,1.0,,6.599e-06,45.3437,,49.0,,14.72,
K07124.01,PROB,KIC 9024857,1.0,,7.744e-07,292.8785,946399.0,,0.00019,1.0,1.299e-10,,0.00019,0.84,160.6019,,35.03,KIC,dr25,1.0,,1.371e-05,45.3444,,119776.0,,15.5,
K07124.02,PROB,KIC 9024857,1.0,2.3e-08,0.0001346,292.8785,549.0,KIC 9024867,1.3e-18,0.5,1.346e-18,4.2e-24,1.3e-18,0.84,267.5998,45.3426,379.15,KIC,dr25,1.0,KIC,1.371e-05,45.3444,312127.0,1415.0,292.8812,15.5,19.41
K07125.01,PROB,UKIRT 44117908857584,0.5,0.44,0.0001137,293.2041,116336.0,KIC 9025739,0.062,0.33,1.599e-05,0.062,0.088,0.84,134.1962,45.3547,7.92,UKIRT,dr25,0.44,KIC,1.107e-05,45.3548,653.0,98.0,293.2015,18.78,14.76
K07126.01,PROB,KIC 9029486,1.0,,5.786e-07,294.4729,1843416.0,,0.0023,1.0,1.153e-09,,0.0023,0.82,132.3299,,3.14,KIC,dr25,1.0,,9.128e-06,45.3897,,227090.0,,13.63,
K07127.01,PROB,KIC 9049010,1.0,4.1e-24,5.794e-05,299.6228,597.0,UKIRT 44117908819905,0.071,0.99,3.549e-06,2.2e-24,0.071,0.73,131.8906,45.3632,0.69,KIC,dr25,1.0,UKIRT,1.419e-05,45.3641,56341.0,11.0,299.6216,13.32,17.81
K07128.01,MATCH,KIC 9083503,1.0,,0.0007904,289.7331,951.0,,0.19,0.0,0.000128,,0.19,0.88,131.6338,,0.92,KIC,dr25,1.0,,1.204e-05,45.438,,108.0,,15.91,
K07129.01,PROB,KIC 9085039,1.0,,0.0001259,290.3803,1136.0,,0.025,0.18,2.703e-06,,0.025,0.87,147.9521,,64.2,KIC,dr25,1.0,,6.825e-06,45.4454,,131.0,,13.84,
K07130.01,PROB,KIC 9093566,0.88,0.12,0.00013,293.5711,148.0,KIC 9093571,0.02,0.78,2.511e-06,0.0036,0.02,0.83,132.3864,45.4128,0.94,KIC,dr25,0.88,KIC,7.186e-06,45.4136,14569.0,11.0,293.5728,12.75,17.42
K07131.01,PROB,KIC 9098590,1.0,,7.895e-07,295.1889,538867.0,,0.00016,1.0,1.101e-10,,0.00016,0.81,133.7311,,2.24,KIC,dr25,1.0,,1.405e-05,45.4062,,65570.0,,14.96,
K07132.01,PROB,KIC 9098810,1.0,,5.494e-07,295.2696,2054305.0,,0.00062,1.0,2.955e-10,,0.00062,0.81,135.6301,,4.13,KIC,dr25,1.0,,9.408e-06,45.476,,309511.0,,13.45,
K07133.01,PROB,KIC 9099773,1.0,5.5e-90,0.0002161,295.5529,490.0,KIC 9099778,0.054,0.02,1.016e-05,1.5e-89,0.054,0.81,141.4207,45.4712,82.78,KIC,dr25,1.0,KIC,1.419e-05,45.4734,201131.0,186.0,295.5541,14.91,17.61
K07134.01,MATCH,KIC 9101208,1.0,8.5e-05,0.001061,295.9762,373.0,UKIRT 44117908950802,0.041,0.0,3.798e-05,3.8e-05,0.041,0.8,132.9996,45.4399,1.81,KIC,dr25,1.0,UKIRT,1.734e-05,45.4403,495358.0,62.0,295.9798,15.37,18.74
K07135.01,PROB,KIC 9119405,1.0,,9.619e-07,300.8903,1838403.0,,2.8e-05,1.0,2.31e-11,,2.8e-05,0.7,139.092,,18.65,KIC,dr25,1.0,,1.72e-05,45.4034,,226569.0,,13.73,
K07136.01,PROB,KIC 9150870,1.0,,0.0001686,290.308,874.0,,8.4e-16,0.09,1.691e-18,,8.4e-16,0.87,374.0092,,441.17,KIC,dr25,1.0,,1.144e-05,45.5984,,700.0,,15.63,
K07137.01,PROB,KIC 9156957,3.4e-18,,1.0,292.7858,1456.0,,5.9e-19,0.05,1.414e-14,,5.9e-19,0.85,133.127,,3.67,KIC,dr25,3.4e-18,,1.493e-05,45.5858,,150.0,,15.83,
K07138.01,PROB,,,,3.744e-07,,,,0.00014,1.0,4.449e-11,,,0.83,132.4339,,3.04,,dr25,1.0,,6.612e-06,,,480338.0,,,
K07139.01,PROB,KIC 9163674,1.0,,6.996e-07,295.2885,1828829.0,,0.0025,1.0,1.489e-09,,0.0025,0.81,131.641,,0.77,KIC,dr25,1.0,,1.017e-05,45.5183,,207853.0,,13.83,
K07140.01,PROB,KIC 9164788,1.0,,0.0001442,295.6948,433.0,,0.04,0.67,4.941e-06,,0.04,0.8,133.5102,,2.67,KIC,dr25,1.0,,1.022e-05,45.5292,,12.0,,13.69,
K07141.01,PROB,KIC 9172506,1.0,,5.841e-07,297.9661,597910.0,,0.00089,1.0,4.508e-10,,0.00089,0.77,149.9083,,50.44,KIC,dr25,1.0,,1.009e-05,45.5458,,85559.0,,12.01,
K07142.01,PROB,KIC 9179531,1.0,,3.047e-06,299.9282,1366368.0,,0.0056,1.0,1.475e-08,,0.0056,0.73,132.5018,,3.26,KIC,dr25,1.0,,2.285e-05,45.5951,,162058.0,,15.09,
K07143.01,PROB,KIC 9181340,0.038,5e-10,0.9622,300.399,18434.0,UKIRT 44117908480224,0.0031,1.0,0.002939,1e-09,0.0031,0.72,133.3193,45.5214,2.13,KIC,dr25,0.038,UKIRT,2.186e-05,45.5211,1810615.0,854.0,300.3975,14.82,19.63
K07144.01,PROB,KIC 9203154,1.0,,0.0002043,284.1252,739.0,,0.019,0.5,3.335e-06,,0.019,0.92,131.6966,,0.84,KIC,dr25,1.0,,7.945e-06,45.6281,,92.0,,15.7,
K07145.01,PROB,,,,5.133e-06,,,,3.5e-16,1.0,5.135e-20,,,0.91,132.1758,,1.22,,dr25,1.0,,6.73e-06,,,596309.0,,,
K07146.01,PROB,KIC 9207508,1.0,,2.849e-07,286.595,612856.0,,3.9e-05,1.0,9.534e-12,,3.9e-05,0.91,132.1036,,2.02,KIC,dr25,1.0,,5.079e-06,45.6983,,89296.0,,13.71,
K07147.01,FAILED,,,,,,,,,0.0,,,,0.89,,,,,dr25,,,,,,,,,
K07148.01,PROB,KIC 9221627,1.0,2.6e-06,0.0001903,293.1719,2973.0,KIC 9221635,6.9e-16,1.0,1.906e-18,2e-21,6.9e-16,0.84,132.9826,45.6775,1.76,KIC,dr25,1.0,KIC,1.178e-05,45.6774,1049634.0,329.0,293.1751,15.02,18.45
K07149.01,PROB,KIC 9236858,1.0,,2.107e-06,298.1215,1994354.0,,0.017,1.0,3.157e-08,,0.017,0.76,134.0052,,2.54,KIC,dr25,1.0,,1.145e-05,45.6511,,240830.0,,13.04,
K07150.01,PROB,KIC 9243795,1.0,,7.71e-07,300.1263,289325.0,,0.00037,1.0,2.449e-10,,0.00037,0.73,139.391,,14.44,KIC,dr25,1.0,,1.361e-05,45.6335,,41386.0,,12.73,
K07151.01,PROB,hiresKIC 22000636,1.0,5.6e-64,1.59e-05,284.3113,1229631.0,KIC 9266285,7.7e-64,1.0,8.488e-07,7.7e-64,0.062,0.92,132.5727,45.7696,5.61,hiresKIC,dr25,5.6e-64,KIC,4.964e-06,45.7695,641963.0,59849.0,284.3105,14.99,14.07
K07152.01,PROB,KIC 9278021,4.3e-05,1.8e-95,1.0,290.6501,21765.0,KIC 9278017,6.2e-06,1.0,6.232e-06,1.1e-100,6.2e-06,0.87,133.9518,45.7842,3.36,KIC,dr25,4.3e-05,KIC,5.691e-06,45.7824,1479770.0,2654.0,290.6485,12.98,16.46
K07153.01,PROB,KIC 9284741,1.0,,0.0003174,293.4254,2452148.0,,0.12,1.0,3.21e-05,,0.12,0.84,134.5454,,20.73,KIC,dr25,1.0,,1.118e-05,45.7608,,346074.0,,14.81,
K07154.01,MATCH,KIC 9286728,1.0,,0.000121,294.155,619.0,,0.033,0.44,3.439e-06,,0.033,0.83,132.5012,,3.04,KIC,dr25,1.0,,1.108e-05,45.7072,,40.0,,14.57,
K07155.01,PROB,,,,1.407e-06,,,,2.3e-16,1.0,1.407e-20,,,0.81,131.9094,,3.79,,dr25,1.0,,1.092e-05,,,517869.0,,,
K07155.02,PROB,KIC 9291368,1.0,,3.611e-06,295.8262,818672.0,,4.1e-20,1.0,3.611e-20,,4.1e-20,0.81,132.6989,,3.8,KIC,dr25,1.0,,1.092e-05,45.7876,,64618.0,,14.01,
K07156.01,PROB,,,,1.19e-06,,,,0.0044,1.0,4.571e-09,,,0.8,144.4524,,15.93,,dr25,1.0,,1.792e-05,,,398830.0,,,
K07157.01,PROB,KIC 9301564,0.74,0.26,0.0008752,298.8056,294.0,UKIRT 44117909032781,0.037,0.0,3.653e-05,0.017,0.037,0.75,160.733,45.7601,47.97,KIC,dr25,0.74,UKIRT,1.397e-05,45.76,96264.0,72.0,298.8073,13.86,19.99
K07158.01,PROB,UKIRT 44117908398568,0.58,0.39,0.0004761,299.6819,11000.0,KIC 9304561,0.015,0.01,1.01e-05,0.015,0.014,0.74,132.0942,45.7113,1.22,UKIRT,dr25,0.39,KIC,1.546e-05,45.7118,580.0,39.0,299.6827,16.96,13.92
K07159.01,PROB,KIC 9328852,1.0,,4.37e-07,284.9971,2024997.0,,0.0012,1.0,4.531e-10,,0.0012,0.92,131.8922,,0.65,KIC,dr25,1.0,,7.389e-06,45.8867,,283482.0,,15.33,
K07160.01,MATCH,KIC 9328864,0.012,,0.9883,285.0035,397.0,,2e-07,0.0,1.991e-07,,2e-07,0.92,131.8989,,0.65,KIC,dr25,0.012,,5.167e-06,45.8879,,47.0,,14.11,
K07161.01,PROB,UKIRT 44117908840416,1.0,1.7e-99,0.0001741,288.2696,1564126.0,KIC 9334490,9e-101,1.0,9.008e-06,9e-101,0.06,0.89,149.9483,45.8766,18.84,UKIRT,dr25,1.7e-99,KIC,9.969e-06,45.8763,38979.0,2875.0,288.2712,18.98,15.7
K07162.01,PROB,KIC 9340411,1.0,3.1e-07,0.0001402,291.0527,199.0,KIC 9340424,0.034,0.22,4.124e-06,1.4e-07,0.034,0.87,131.6999,45.8358,5.16,KIC,dr25,1.0,KIC,5.915e-06,45.8351,99249.0,33.0,291.0562,13.03,17.79
K07163.01,PROB,KIC 9344623,1.0,,4.497e-07,292.7402,2426605.0,,7e-05,1.0,2.722e-11,,7e-05,0.85,139.7832,,14.76,KIC,dr25,1.0,,8.016e-06,45.8015,,363404.0,,13.82,
K07164.01,PROB,KIC 9353182,1.0,,4.663e-07,295.8544,944341.0,,0.00032,1.0,1.308e-10,,0.00032,0.81,136.5283,,10.48,KIC,dr25,1.0,,8.262e-06,45.8922,,120530.0,,12.42,
K07165.01,PROB,KIC 9357275,1.0,,5.315e-07,297.2025,600253.0,,0.00055,1.0,2.553e-10,,0.00055,0.78,132.1829,,1.59,KIC,dr25,1.0,,9.244e-06,45.8499,,82590.0,,12.19,
K07166.01,MATCH,KIC 9357375,1.0,,0.0006741,297.2336,525.0,,0.02,0.0,1.169e-05,,0.02,0.78,132.1924,,1.59,KIC,dr25,1.0,,1.955e-05,45.8433,,73.0,,15.46,
K07167.01,PROB,KIC 9392702,1.0,0.0,2.82e-06,286.0696,415539.0,UKIRT 44117909080603,0.046,1.0,1.135e-07,1.7e-47,0.046,0.91,131.8924,45.9003,3.91,KIC,dr25,1.0,UKIRT,6.315e-06,45.9006,956503.0,66983.0,286.0705,14.62,15.64
K07168.01,FAILED,,,,,,,,,0.0,,,,0.9,,,,,dr25,,,,,,,,,
K07169.01,PROB,KIC 9397900,1.0,5e-22,0.0001467,289.0419,166.0,KIC 9397892,0.037,0.33,4.652e-06,5.7e-22,0.037,0.89,140.9261,45.9766,10.51,KIC,dr25,1.0,KIC,4.937e-06,45.9771,360119.0,28.0,289.0379,12.93,19.02
K07170.01,PROB,KIC 9411943,5.3e-18,8.1e-96,1.0,294.9418,46644.0,KIC 9411939,5.5e-19,1.0,1.414e-14,1.1e-109,5.5e-19,0.82,132.1649,45.93,1.92,KIC,dr25,5.3e-18,KIC,1.233e-05,45.9296,1657042.0,4581.0,294.9401,14.74,18.36
K07171.01,PROB,KIC 9412462,1.0,,7.562e-07,295.1204,2550767.0,,0.0004,1.0,2.643e-10,,0.0004,0.82,132.5361,,10.19,KIC,dr25,1.0,,1.293e-05,45.9686,,341912.0,,14.85,
K07172.01,PROB,KIC 9418994,0.073,,0.9271,297.2839,108435.0,,0.0028,1.0,0.002591,,0.0028,0.78,136.4951,,32.0,KIC,dr25,0.073,,1.087e-05,45.9531,,17035.0,,13.4,
K07173.01,PROB,KIC 9451096,1.0,,1.971e-07,284.8071,1929800.0,,0.00011,1.0,1.94e-11,,0.00011,0.92,131.7309,,1.25,KIC,dr25,1.0,,3.501e-06,46.098,,217016.0,,12.64,
K07174.01,PROB,KIC 9458266,1.0,,0.0001511,288.8777,482.0,,0.01,0.44,1.332e-06,,0.01,0.89,132.7071,,1.58,KIC,dr25,1.0,,5.832e-06,46.0591,,35.0,,13.74,
K07175.01,PROB,KIC 9466042,1.0,,9.395e-05,292.3114,109.0,,0.026,0.67,2.088e-06,,0.026,0.86,133.6032,,9.27,KIC,dr25,1.0,,6.432e-06,46.0733,,69.0,,13.0,
K07176.01,PROB,KIC 9468296,1.0,7.9e-102,9.995e-07,293.2198,82318.0,KIC 9468300,0.0076,1.0,6.599e-09,5.2e-104,0.0076,0.84,132.2795,46.0533,5.75,KIC,dr25,1.0,KIC,1.272e-05,46.0537,1980290.0,11471.0,293.2218,15.31,18.57
