,pp_host_prob_prov,pp_1hi_starid,pp_1hi_rel_prob,pp_2hi_rel_prob,pp_unk_rel_prob,pp_1hi_ra,pp_1hi_mod_depth,pp_2hi_starid,pp_host_rel_prob_err,pp_host_prob_score,pp_unk_rel_prob_err,pp_2hi_rel_prob_err,pp_1hi_rel_prob_err,pp_host_prior_prob,pp_koi_time0bk,pp_2hi_dec,pp_koi_period,pp_1hi_prob_prov,pp_dv_run_id,pp_host_rel_prob,pp_2hi_prob_prov,pp_bkgd_density,pp_1hi_dec,pp_2hi_mod_depth,pp_koi_depth,pp_2hi_ra,pp_1hi_kepmag,pp_2hi_kepmag
K00605.02,PROB,hiresKIC 22000146,0.49,0.49,8.957e-05,290.9273,2073.0,KIC 4832837,0.0056,0.05,7.142e-07,0.0056,0.0047,0.82,131.9512,39.9141,5.07,hiresKIC,dr25,0.49,KIC,1.319e-05,39.9141,2648.0,125.0,290.9273,14.65,14.91
K00606.01,PROB,KIC 5014753,1.1e-12,,1.0,292.8704,106918.0,,5.4e-14,1.0,5.534e-14,,5.4e-14,0.79,134.0016,,3.17,KIC,dr25,1.1e-12,,1.322e-05,40.1053,,14641.0,,14.33,
K00607.01,PROB,KIC 5441980,1.0,,8.043e-05,289.8091,81501.0,,0.13,1.0,9.118e-06,,0.13,0.84,132.2281,,5.89,KIC,dr25,1.0,,9.651e-06,40.6158,,10894.0,,14.38,
K00608.01,PROB,UKIRT 44117916105462,1.0,4.2e-37,7.438e-05,298.871,128936.0,KIC 5562799,2.6e-74,1.0,4.907e-06,1.7e-37,0.076,0.66,142.2392,40.7171,25.34,UKIRT,dr25,8.3e-75,KIC,2.722e-05,40.7202,2481337.0,2221.0,298.8722,16.7,16.94
K00609.01,PROB,KIC 5608566,1.0,,7.512e-07,288.1607,33489.0,,0.0069,1.0,4.521e-09,,0.0069,0.86,132.4507,,4.4,KIC,dr25,1.0,,8.536e-06,40.8789,,4467.0,,14.49,
K00610.01,PROB,KIC 5686174,1.0,,5.69e-06,284.4785,7137.0,,0.014,1.0,6.787e-08,,0.014,0.9,138.0008,,14.28,KIC,dr25,1.0,,6.863e-06,40.9331,,994.0,,14.67,
K00611.01,PROB,KIC 6309763,1.0,9.8e-102,1.88e-06,298.294,38421.0,KIC 6309749,0.013,1.0,2.052e-08,1.1e-103,0.013,0.69,132.041,41.684,3.25,KIC,dr25,1.0,KIC,1.918e-05,41.6838,2483021.0,4673.0,298.2916,14.02,16.77
K00612.01,PROB,KIC 6587002,1.0,,6.492e-06,284.9685,4032.0,,0.02,1.0,1.14e-07,,0.02,0.9,131.7395,,20.74,KIC,dr25,1.0,,5.873e-06,42.0792,,611.0,,14.16,
K00612.02,PROB,KIC 6587002,1.0,,2.905e-06,284.9685,5275.0,,0.022,1.0,5.608e-08,,0.022,0.9,169.1276,,47.43,KIC,dr25,1.0,,5.873e-06,42.0792,,822.0,,14.16,
K00612.03,PROB,KIC 6587002,1.0,,6.838e-06,284.9685,1726.0,,0.018,1.0,1.071e-07,,0.018,0.9,155.026,,122.08,KIC,dr25,1.0,,5.873e-06,42.0792,,764.0,,14.16,
